osm_id,code,fclass,name
358636559,3100,christian,Pine Valley Christian Church
358636560,3100,christian,Faith Mission Church of God in Christ
358636563,3100,christian,University Christian Church
358636565,3100,christian,North Madison Avenue Church of Christ
358636574,3100,christian,Dellrose Church of God
358636582,3100,christian,Poplar Avenue Church of Christ
358636585,3100,christian,Church of God in Christ Revival Center
358636589,3100,christian,Elpyco Church of Christ
358636594,3100,christian,Plainview Church of Christ
358636599,3100,christian,Victorious Cross Church of God in Christ
358636605,3100,christian,Our Lady of Perpetual Help Church
358636607,3100,christian,Evening Light Church of God
358636610,3100,christian,Northeast Heights Church of Christ
358636612,3100,christian,North Heights Christian Church
358636615,3100,christian,Mount Horeb Church of God in Christ
358636617,3100,christian,Pentecostal Church of God in Christ
358636619,3100,christian,Mount Olive Church of God in Christ
358636622,3100,christian,Mount Carmel Church of God in Christ
358636623,3100,christian,Galilee Church of God in Christ
358636630,3100,christian,Northside Church of Christ
358636632,3100,christian,East Side Church of God in Christ
358636634,3100,christian,Eleventh Street Church of Christ
358636636,3100,christian,Riverside Christian Church
358636650,3102,christian_catholic,Our Lady of Guadalupe Roman Catholic Church
358636661,3100,christian,Central Community Church of God
358636663,3100,christian,Clark Street Church of Christ
358636668,3102,christian_catholic,Saint Anne Roman Catholic Church
358636671,3100,christian,West Side Church of Christ
358636673,3100,christian,South Glenn Church of God
358636675,3100,christian,Harry Street Church of God
358636680,3100,christian,Bible Christian Church
358636682,3100,christian,Fundamental Church of God
358636684,3102,christian_catholic,Saint Margaret Mary Roman Catholic Church
358636689,3100,christian,Holy Savior Roman Catholic Church
358636692,3104,christian_lutheran,Saint Andrews Lutheran Church
358636695,3100,christian,First Mennonite Brethren Church
358636698,3100,christian,Country Acres Baptist Church
358636700,3100,christian,The Church of Jesus Christ of Latter-day Saints
358636705,3100,christian,Rolling Hills Church of God
358636710,3100,christian,Saint Elizabeth Ann Seton Church
358636713,3100,christian,Saint Matthias Episcopal Church
358636714,3100,christian,Westlink Church of Christ
358636717,3100,christian,New Creation Christian Church
358636722,3100,christian,Westlink Baptist Church
358636724,3104,christian_lutheran,Ascension Lutheran Church
358636726,3100,christian,Westlink Christian Church
358636729,3100,christian,Town West Baptist Church
358636731,3100,christian,Trinity Church of the Nazarene
358636733,3100,christian,Olivet Church of the Nazarene
358636735,3100,christian,West Congregaion Jehovahs Witnesses
358636741,3100,christian,Riverside Unit Jehovahs Witnesses
358636744,3100,christian,Bethel Baptist Church
358636746,3100,christian,Salem Missionary Baptist Church
358636749,3100,christian,Orchard Valley Christian Church
358636752,3100,christian,Calvary Apostolic Pentecostal United Church
358636755,3100,christian,Heartland Baptist Church
358636757,3100,christian,Memory Lane Baptist Church
